From	Entry	Protein names	Gene Names	Organism	Length
J3QNE4	J3QNE4	Coiled-coil domain-containing 180	Ccdc180 E230008N13Rik	Mus musculus (Mouse)	1664.0
Q3U5F4	Q3U5F4	Threonylcarbamoyl-AMP synthase (EC 2.7.7.87) (Ischemia/reperfusion-inducible protein) (mIRIP)	Yrdc Irip	Mus musculus (Mouse)	280.0
Q7TN83	Q7TN83	Synaptotagmin-16 (Synaptotagmin 14-like protein) (Synaptotagmin XIV-related protein)	Syt16 Strep14 Syt14l Syt14r	Mus musculus (Mouse)	639.0
Q8BPN8	Q8BPN8	DmX-like protein 2 (Rabconnectin-3)	Dmxl2 Kiaa0856	Mus musculus (Mouse)	3032.0
E9Q1U1-2	E9Q1U1	Coiled-coil domain-containing protein 171	Ccdc171	Mus musculus (Mouse)	1324.0
Q3T9X0	Q3T9X0	Solute carrier family 2, facilitated glucose transporter member 9 (Glucose transporter type 9) (GLUT-9) (Urate transporter)	Slc2a9 Glut9	Mus musculus (Mouse)	538.0
Q61468	Q61468	Mesothelin (Pre-pro-megakaryocyte-potentiating factor) [Cleaved into: Megakaryocyte-potentiating factor (MPF); Mesothelin, cleaved form]	Msln Mes Mpf	Mus musculus (Mouse)	625.0
Q8R3G9	Q8R3G9	Tetraspanin-8 (Tspan-8)	Tspan8	Mus musculus (Mouse)	235.0
Q9Z1P5	Q9Z1P5	CD320 antigen (Transcobalamin receptor) (TCblR) (CD antigen CD320)	Cd320	Mus musculus (Mouse)	260.0
Q3URI6	Q3URI6	Zinc finger protein 560	Zfp560	Mus musculus (Mouse)	754.0
Q8K2T1-3	Q8K2T1	NmrA-like family domain-containing protein 1	Nmral1	Mus musculus (Mouse)	309.0
A2A864	A2A864	Integrin beta	Itgb4	Mus musculus (Mouse)	1802.0
Q9CZQ6	Q9CZQ6	Retinoic acid early-inducible protein 1-epsilon (RAE-1-epsilon)	Raet1e	Mus musculus (Mouse)	251.0
Q80XI6	Q80XI6	Mitogen-activated protein kinase kinase kinase 11 (EC 2.7.11.25) (Mixed lineage kinase 3)	Map3k11 Mlk3	Mus musculus (Mouse)	850.0
Q66L42	Q66L42	Mitogen-activated protein kinase kinase kinase 10 (EC 2.7.11.25)	Map3k10	Mus musculus (Mouse)	940.0
D3Z2R5	D3Z2R5	Selenoprotein N (SelN)	Selenon Seln Sepn1	Mus musculus (Mouse)	557.0
Q6P9J9	Q6P9J9	Anoctamin-6 (Small-conductance calcium-activated nonselective cation channel) (SCAN channel) (Transmembrane protein 16F)	Ano6 Tmem16f	Mus musculus (Mouse)	911.0
P97792-2	P97792	Coxsackievirus and adenovirus receptor homolog (CAR) (mCAR)	Cxadr Car	Mus musculus (Mouse)	365.0
B1AWL2	B1AWL2	Zinc finger protein 462 (Zinc finger PBX1-interacting protein) (ZFPIP)	Znf462 Zfp462	Mus musculus (Mouse)	2495.0
Q3TEW6	Q3TEW6	Myelin protein zero-like protein 1 (Protein zero-related)	Mpzl1 Pzr	Mus musculus (Mouse)	270.0
P07356	P07356	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	Anxa2 Anx2 Cal1h	Mus musculus (Mouse)	339.0
A0A140T8T1	A0A140T8T1	deleted			
P97792	P97792	Coxsackievirus and adenovirus receptor homolog (CAR) (mCAR)	Cxadr Car	Mus musculus (Mouse)	365.0
Q9QXG9	Q9QXG9	TERF1-interacting nuclear factor 2 (TRF1-interacting nuclear protein 2)	Tinf2 Tin2	Mus musculus (Mouse)	341.0
E9Q0T8	E9Q0T8	Dynein, axonemal, heavy chain 7A	Dnah7a Dnahc7a Dnahc7b	Mus musculus (Mouse)	4024.0
P29533	P29533	Vascular cell adhesion protein 1 (V-CAM 1) (VCAM-1) (CD antigen CD106)	Vcam1 Vcam-1	Mus musculus (Mouse)	739.0
Q01279	Q01279	Epidermal growth factor receptor (EC 2.7.10.1)	Egfr	Mus musculus (Mouse)	1210.0
E9Q7P9	E9Q7P9	Cadherin-related family member 2	Cdhr2	Mus musculus (Mouse)	1308.0
Q6PI17	Q6PI17	Metalloproteinase inhibitor 2 (Tissue inhibitor of metalloproteinases 2)	Timp2	Mus musculus (Mouse)	220.0
Q6Q473	Q6Q473	Calcium-activated chloride channel regulator 4A (EC 3.4.-.-) (Calcium-activated chloride channel regulator 6) (mClca6) [Cleaved into: Calcium-activated chloride channel regulator 4A, 110 kDa form; Calcium-activated chloride channel regulator 4A, 30 kDa form]	Clca4a Clca6	Mus musculus (Mouse)	924.0
P15379	P15379	CD44 antigen (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Lymphocyte antigen 24) (Ly-24) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	Cd44 Ly-24	Mus musculus (Mouse)	778.0
Q61735-2	Q61735	Leukocyte surface antigen CD47 (Integrin-associated protein) (IAP) (CD antigen CD47)	Cd47	Mus musculus (Mouse)	303.0
P97929	P97929	Breast cancer type 2 susceptibility protein homolog (Fanconi anemia group D1 protein homolog)	Brca2 Fancd1	Mus musculus (Mouse)	3329.0
A2A863	A2A863	Integrin beta-4 (CD antigen CD104)	Itgb4	Mus musculus (Mouse)	1818.0
P15306	P15306	Thrombomodulin (TM) (Fetomodulin) (CD antigen CD141)	Thbd	Mus musculus (Mouse)	577.0
A2A863-3	A2A863	Integrin beta-4 (CD antigen CD104)	Itgb4	Mus musculus (Mouse)	1818.0
Q64455	Q64455	Receptor-type tyrosine-protein phosphatase eta (Protein-tyrosine phosphatase eta) (R-PTP-eta) (EC 3.1.3.48) (HPTP beta-like tyrosine phosphatase) (Protein-tyrosine phosphatase receptor type J) (R-PTP-J) (Susceptibility to colon cancer 1) (CD antigen CD148)	Ptprj Byp Scc1	Mus musculus (Mouse)	1238.0
P10852	P10852	4F2 cell-surface antigen heavy chain (4F2hc) (Solute carrier family 3 member 2) (CD antigen CD98)	Slc3a2 Mdu1	Mus musculus (Mouse)	526.0
P25446	P25446	Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95)	Fas Apt1 Tnfrsf6	Mus musculus (Mouse)	327.0
E9PUL3	E9PUL3	Chloride channel accessory 3B	Clca3b Clca4	Mus musculus (Mouse)	1044.0
G3UYX5	G3UYX5	Regulator of G-protein signaling 22	Rgs22	Mus musculus (Mouse)	1258.0
Q9JKF7	Q9JKF7	39S ribosomal protein L39, mitochondrial (L39mt) (MRP-L39)	Mrpl39	Mus musculus (Mouse)	336.0
Q2TV84	Q2TV84	Transient receptor potential cation channel subfamily M member 1 (Long transient receptor potential channel 1) (LTrpC1) (Melastatin-1)	Trpm1 Ltrpc1	Mus musculus (Mouse)	1622.0
P14094	P14094	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	Atp1b1 Atp4b	Mus musculus (Mouse)	304.0
Q9Z306	Q9Z306	Solute carrier family 22 member 4 (Organic cation/carnitine transporter 1)	Slc22a4 Octn1	Mus musculus (Mouse)	553.0
Q91VH1	Q91VH1	Adiponectin receptor protein 1 (Progestin and adipoQ receptor family member 1) (Progestin and adipoQ receptor family member I)	Adipor1 Parq1	Mus musculus (Mouse)	375.0
Q8BTZ5	Q8BTZ5	Ankyrin repeat domain-containing protein 46 (Ankyrin repeat small protein) (ANK-S)	Ankrd46	Mus musculus (Mouse)	228.0
P97370	P97370	Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298)	Atp1b3	Mus musculus (Mouse)	278.0
P15116	P15116	Cadherin-2 (Neural cadherin) (N-cadherin) (CD antigen CD325)	Cdh2	Mus musculus (Mouse)	906.0
Q8BHL4	Q8BHL4	Retinoic acid-induced protein 3 (G-protein coupled receptor family C group 5 member A) (Retinoic acid-induced gene 1 protein) (RAIG-1)	Gprc5a Rai3 Raig1	Mus musculus (Mouse)	356.0
P35951	P35951	Low-density lipoprotein receptor (LDL receptor)	Ldlr	Mus musculus (Mouse)	862.0
Q00609	Q00609	T-lymphocyte activation antigen CD80 (Activation B7-1 antigen) (B7) (CD antigen CD80)	Cd80 B7	Mus musculus (Mouse)	306.0
Q8CD54	Q8CD54	Piezo-type mechanosensitive ion channel component 2 (Protein FAM38B)	Piezo2 Fam38b	Mus musculus (Mouse)	2822.0
Q61739-2	Q61739	Integrin alpha-6 (CD49 antigen-like family member F) (VLA-6) (CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha-6 (Alpha6p)]	Itga6	Mus musculus (Mouse)	1091.0
Q8BP40	Q8BP40	Lysophosphatidic acid phosphatase type 6 (EC 3.1.3.2) (Acid phosphatase 6, lysophosphatidic) (Acid phosphatase-like protein 1) (PACPL1)	Acp6 Acpl1 Lpap	Mus musculus (Mouse)	418.0
Q60668	Q60668	Heterogeneous nuclear ribonucleoprotein D0 (hnRNP D0) (AU-rich element RNA-binding protein 1)	Hnrnpd Auf1 Hnrpd	Mus musculus (Mouse)	355.0
Q8JZR6	Q8JZR6	Electroneutral sodium bicarbonate exchanger 1 (Electroneutral Na+-driven Cl-HCO3 exchanger) (Solute carrier family 4 member 8) (k-NBC3)	Slc4a8 Kiaa0739 Ndcbe	Mus musculus (Mouse)	1089.0
Q99020	Q99020	Heterogeneous nuclear ribonucleoprotein A/B (hnRNP A/B) (CArG-binding factor-A) (CBF-A)	Hnrnpab Cbf-a Cgbfa Hnrpab	Mus musculus (Mouse)	285.0
Q07113	Q07113	Cation-independent mannose-6-phosphate receptor (CI Man-6-P receptor) (CI-MPR) (M6PR) (300 kDa mannose 6-phosphate receptor) (MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor) (IGF-II receptor) (M6P/IGF2 receptor) (M6P/IGF2R) (CD antigen CD222)	Igf2r	Mus musculus (Mouse)	2483.0
Q9CQX5	Q9CQX5	Claudin domain-containing protein 1 (Claudin-25)	Cldnd1 Cldn25 D11Moh34	Mus musculus (Mouse)	253.0
B2RXS4	B2RXS4	Plexin-B2	Plxnb2	Mus musculus (Mouse)	1842.0
P57716	P57716	Nicastrin	Ncstn	Mus musculus (Mouse)	708.0
Q03145	Q03145	Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK) (Tyrosine-protein kinase receptor MPK-5) (Tyrosine-protein kinase receptor SEK-2)	Epha2 Eck Myk2 Sek2	Mus musculus (Mouse)	977.0
Q8BIF0	Q8BIF0	CD99 antigen-like protein 2 (MIC2-like protein 1) (CD antigen CD99)	Cd99l2 Mic2l1	Mus musculus (Mouse)	237.0
Q9QZM4	Q9QZM4	Tumor necrosis factor receptor superfamily member 10B (Death receptor 5) (MK) (CD antigen CD262)	Tnfrsf10b Dr5 Killer	Mus musculus (Mouse)	381.0
P10107	P10107	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35) [Cleaved into: Annexin Ac2-26]	Anxa1 Anx1 Lpc-1 Lpc1	Mus musculus (Mouse)	346.0
Q8VE80	Q8VE80	THO complex subunit 3 (Tho3)	Thoc3	Mus musculus (Mouse)	351.0
Q60767	Q60767	Lymphocyte antigen 75 (Ly-75) (DEC-205) (CD antigen CD205)	Ly75 Cd205	Mus musculus (Mouse)	1723.0
P51863	P51863	V-type proton ATPase subunit d 1 (V-ATPase subunit d 1) (P39) (Physophilin) (V-ATPase 40 kDa accessory protein) (V-ATPase AC39 subunit) (Vacuolar proton pump subunit d 1)	Atp6v0d1 Atp6d	Mus musculus (Mouse)	351.0
Q00PI9	Q00PI9	Heterogeneous nuclear ribonucleoprotein U-like protein 2 (MLF1-associated nuclear protein)	Hnrnpul2 Hnrpul2 Manp	Mus musculus (Mouse)	745.0
Q62470	Q62470	Integrin alpha-3 (CD49 antigen-like family member C) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain]	Itga3	Mus musculus (Mouse)	1053.0
A0A0R4J1K9	A0A0R4J1K9	Anion exchange protein	Slc4a2	Mus musculus (Mouse)	1228.0
O35632	O35632	Hyaluronidase-2 (Hyal-2) (EC 3.2.1.35) (Hyaluronoglucosaminidase-2)	Hyal2	Mus musculus (Mouse)	473.0
Q6PDJ1	Q6PDJ1	VWFA and cache domain-containing protein 1 (Cache domain-containing protein 1)	Cachd1 Kiaa1573 Vwcd1	Mus musculus (Mouse)	1288.0
Q8VIM0	Q8VIM0	Hepatitis A virus cellular receptor 2 homolog (HAVcr-2) (T-cell immunoglobulin and mucin domain-containing protein 3) (TIMD-3) (T-cell immunoglobulin mucin receptor 3) (TIM-3) (T-cell membrane protein 3) (CD antigen CD366)	Havcr2 Tim3 Timd3	Mus musculus (Mouse)	281.0
P08207	P08207	Protein S100-A10 (Calpactin I light chain) (Calpactin-1 light chain) (Cellular ligand of annexin II) (S100 calcium-binding protein A10) (p10 protein) (p11)	S100a10 Cal1l	Mus musculus (Mouse)	97.0
A0A0G2JDD1	A0A0G2JDD1	Solute carrier organic anion transporter family member	Slco1a5	Mus musculus (Mouse)	670.0
Q06890	Q06890	Clusterin (Apolipoprotein J) (Apo-J) (Clustrin) (Sulfated glycoprotein 2) (SGP-2) [Cleaved into: Clusterin beta chain; Clusterin alpha chain]	Clu Apoj Msgp-2	Mus musculus (Mouse)	448.0
Q8CFE6	Q8CFE6	Sodium-coupled neutral amino acid symporter 2 (Amino acid transporter A2) (Solute carrier family 38 member 2) (System A amino acid transporter 2) (System A transporter 1) (System N amino acid transporter 2)	Slc38a2 Ata2 Kiaa1382 Sat2 Snat2	Mus musculus (Mouse)	504.0
