Entry	Add	Entry name	Status	Protein names	Gene names	Organism	Length
Q9ES64	1	USH1C_MOUSE	reviewed	Harmonin (PDZ domain-containing protein) (Usher syndrome type-1C protein homolog)	Ush1c	Mus musculus (Mouse)	910
Q9JJG0	1	TACC2_MOUSE	reviewed	Transforming acidic coiled-coil-containing protein 2	Tacc2 MNCb-3527	Mus musculus (Mouse)	1149
Q9JJ11	1	TACC3_MOUSE	reviewed	Transforming acidic coiled-coil-containing protein 3 (ARNT-interacting protein)	Tacc3 Aint	Mus musculus (Mouse)	631
P83853	1	VAM6L_MOUSE	reviewed	Vam6-like protein (Fragment)		Mus musculus (Mouse)	8
P48281	1	VDR_MOUSE	reviewed	"Vitamin D3 receptor (VDR) (1,25-dihydroxyvitamin D3 receptor) (Nuclear receptor subfamily 1 group I member 1)"	Vdr Nr1i1	Mus musculus (Mouse)	422
Q99MV1	1	TDRD1_MOUSE	reviewed	Tudor domain-containing protein 1	Tdrd1	Mus musculus (Mouse)	1172
P09838	1	TDT_MOUSE	reviewed	DNA nucleotidylexotransferase (EC 2.7.7.31) (EC 3.1.11.-) (Terminal addition enzyme) (Terminal deoxynucleotidyltransferase) (TDT) (Terminal transferase)	Dntt Tdt	Mus musculus (Mouse)	510
P62340	1	TBPL1_MOUSE	reviewed	TATA box-binding protein-like 1 (TBP-like 1) (21 kDa TBP-like protein) (TATA box-binding protein-related factor 2) (TBP-related factor 2) (TBP-like factor) (TBP-related protein)	Tbpl1 Tlf Tlp Tlp21 Trf2 Trp	Mus musculus (Mouse)	186
Q9D030	1	TWST2_MOUSE	reviewed	Twist-related protein 2 (Dermis-expressed protein 1) (Dermo-1)	Twist2 Dermo1	Mus musculus (Mouse)	160
Q62388	1	ATM_MOUSE	reviewed	Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated homolog) (A-T mutated homolog)	Atm	Mus musculus (Mouse)	3066
