Entry	Add	Entry name	Status	Protein names	Gene names	Organism	Length
Q62035	1	PTAFR_MOUSE	reviewed	Platelet-activating factor receptor (PAF-R) (PAFr)	Ptafr	Mus musculus (Mouse)	341
Q5QD06	1	TAA8B_MOUSE	reviewed	Trace amine-associated receptor 8b (TaR-8b) (Trace amine receptor 8b) (mTaar8b)	Taar8b Gm1149	Mus musculus (Mouse)	344
Q5QD05	1	TAA8C_MOUSE	reviewed	Trace amine-associated receptor 8c (TaR-8c) (Trace amine receptor 8c) (mTaar8c)	Taar8c	Mus musculus (Mouse)	344
Q5QD07	1	TAA8A_MOUSE	reviewed	Trace amine-associated receptor 8a (TaR-8a) (Trace amine receptor 8a) (mTaar8a)	Taar8a Gm230	Mus musculus (Mouse)	344
Q923Y8	1	TAAR1_MOUSE	reviewed	Trace amine-associated receptor 1 (TaR-1) (Trace amine receptor 1)	Taar1 Ta1 Tar1 Trar1	Mus musculus (Mouse)	332
Q80T11	1	USH1G_MOUSE	reviewed	Usher syndrome type-1G protein homolog (Jackson shaker protein) (Scaffold protein containing ankyrin repeats and SAM domain)	Ush1g Sans	Mus musculus (Mouse)	461
Q91X17	1	UROM_MOUSE	reviewed	"Uromodulin (Tamm-Horsfall urinary glycoprotein) (THP) [Cleaved into: Uromodulin, secreted form]"	Umod	Mus musculus (Mouse)	642
Q60932	1	VDAC1_MOUSE	reviewed	Voltage-dependent anion-selective channel protein 1 (VDAC-1) (mVDAC1) (Outer mitochondrial membrane protein porin 1) (Plasmalemmal porin) (Voltage-dependent anion-selective channel protein 5) (VDAC-5) (mVDAC5)	Vdac1 Vdac5	Mus musculus (Mouse)	296
O70404	1	VAMP8_MOUSE	reviewed	Vesicle-associated membrane protein 8 (VAMP-8) (Endobrevin) (Edb)	Vamp8	Mus musculus (Mouse)	101
Q80Z96	1	VANG1_MOUSE	reviewed	Vang-like protein 1 (Loop-tail protein 2) (Van Gogh-like protein 1)	Vangl1 Lpp2	Mus musculus (Mouse)	526
Q91ZD4	1	VANG2_MOUSE	reviewed	Vang-like protein 2 (Loop-tail protein 1) (Loop-tail-associated protein) (Van Gogh-like protein 2)	Vangl2 Lpp1 Ltap	Mus musculus (Mouse)	521
Q9EQ47	1	V1R44_MOUSE	reviewed	Vomeronasal type-1 receptor 44 (Vomeronasal type-1 receptor A10) (Vomeronasal type-1 receptor B11) (Vomeronasal type-1 receptor B4)	Vmn1r44 V1ra10 V1rb11 V1rb4	Mus musculus (Mouse)	310
Q8VIC7	1	V1R45_MOUSE	reviewed	Vomeronasal type-1 receptor 45 (Pheromone receptor 2) (Vomeronasal type-1 receptor A2) (mV1R2) (Vomeronasal type-1 receptor A9)	Vmn1r45 Pr2 V1ra2 V1ra9	Mus musculus (Mouse)	318
